year;nino
1951;27.22666667
1952;26.18
1953;26.92
1954;25.30666667
1955;24.64666667
1956;25.68
1957;27.49333333
1958;26.53333333
1959;26.06666667
1960;26.30666667
1961;25.85333333
1962;25.88666667
1963;27.41
1964;25.31666667
1965;28.1
1966;26.24
1967;25.97
1968;26.89
1969;27.19666667
1970;25.60666667
1971;25.58333333
1972;28.27333333
1973;24.70666667
1974;25.82333333
1975;24.99666667
1976;27.29666667
1977;27.22
1978;26.19666667
1979;26.93666667
1980;26.5
1981;26.41333333
1982;28.51333333
1983;25.72333333
1984;25.98
1985;26.19333333
1986;27.49333333
1987;28.03
1988;25.06333333
1989;26.33
1990;26.89333333
1991;27.54
1992;26.49666667
1993;26.85
1994;27.49333333
1995;25.77333333
1996;26.27666667
1997;29.01666667
1998;25.31666667
1999;25.41
2000;26.04666667
2001;26.47333333
2002;27.98
2003;27.05666667
2004;27.44333333
2005;26.48
2006;27.47333333
2007;25.36666667
2008;26.36333333
2009;27.72
2010;25.07
2011;25.70333333
2012;26.98
2013;26.54
2014;27.21
